2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
群馬県 154kV 11,下児玉線,154,2,1506,870,熱容量,0,0,可,241,有り,-,変8，変群馬154kV2,上位系（変群馬154kV2）による制約
群馬県 154kV 12,岩本線,154,2,-,-,-,83,0,-,-,有り,-,変8，変群馬154kV2，送群馬154kV3,◇　上位系（送群馬154kV7）による制約
群馬県 154kV 13,鎌田線,154,2,-,-,-,77,0,-,-,有り,-,変8，変群馬154kV2，送群馬154kV3,上位系（送群馬154kV7）による制約
群馬県 154kV 14,佐波線,154,2,1974,1131,熱容量,636,0,可,843,有り,-,変8，変群馬154kV2,上位系（変群馬154kV2）による制約
群馬県 154kV 15,送電線,154,2,-,-,-,65,0,-,-,有り,-,変8，変群馬154kV2，送群馬154kV3,◇　上位系（送群馬154kV3）による制約
群馬県 154kV 16,上群線,154,2,514,290,熱容量,257,0,可,224,有り,-,変8，変群馬154kV2，送群馬154kV3,上位系（送群馬154kV3）による制約
群馬県 154kV 17,湯宿線,154,2,410,231,熱容量,175,0,可,179,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,抑制が必要となる設備には送群馬66kV31含む　上位系（送群馬154kV5）による制約
群馬県 154kV 18,須田貝線,154,1,113,113,熱容量,34,0,不可 ♯２,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,抑制が必要となる設備には送群馬66kV31含む　上位系（送群馬154kV5）による制約
群馬県 66kV 1,足利線,66,2,184,104,熱容量,52,52,可,80,-,-,-,
群馬県 66kV 2,東足利線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
群馬県 66kV 3,多々良川線,66,2,132,74,熱容量,56,0,可,58,有り,-,送52，変4,上位系（変4）による制約
