2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
神奈川県 66kV 15,下野毛線,66,2,104,59,熱容量,52,0,可,45,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 16,菅生線,66,2,94,53,熱容量,47,0,可,41,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 17,菅生線,66,2,94,53,熱容量,47,0,可,41,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 18,送電線,66,2,-,-,-,47,0,-,-,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 19,千南線,66,2,444,254,熱容量,222,0,可,190,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 20,千南線,66,2,444,254,熱容量,222,0,可,190,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 21,登戸線,66,2,192,104,熱容量,96,0,可,88,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 22,平台線,66,2,372,212,熱容量,186,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
神奈川県 66kV 23,市ヶ尾線,66,2,372,212,熱容量,186,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
神奈川県 66kV 24,鴨志田線,66,2,372,212,熱容量,186,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
神奈川県 66kV 25,鴨志田線,66,2,372,212,熱容量,186,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
神奈川県 66kV 27,生田線,66,2,128,64,熱容量,64,0,可,3,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
神奈川県 66kV 28,奈良線,66,2,372,212,熱容量,186,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
神奈川県 66kV 29,川井線,66,2,184,104,熱容量,92,0,可,80,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 30,大和線,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 31,横瀬線,66,2,448,247,熱容量,92,0,可,201,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 32,瀬谷線,66,2,184,104,熱容量,0,0,可,80,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 33,町田線,66,2,230,130,熱容量,115,0,可,12,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 34,大沼線,66,2,66,66,熱容量,66,66,可,0,-,-,-,
神奈川県 66kV 35,麻溝線,66,2,208,118,熱容量,104,104,可,90,-,-,-,
神奈川県 66kV 36,中津線,66,2,104,104,熱容量,104,104,可,0,-,-,-,
神奈川県 66kV 37,荻野線,66,2,186,186,熱容量,186,104,可,0,-,-,-,
神奈川県 66kV 38,愛川線,66,2,60,60,熱容量,60,60,可,0,-,-,-,
神奈川県 66kV 39,渕野辺線,66,2,132,74,熱容量,66,0,可,58,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 40,大野線,66,2,184,104,熱容量,92,0,可,80,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 41,八ツ沢線,66,2,66,66,熱容量,27,0,可,0,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 42,八ツ沢線,66,2,66,66,熱容量,54,0,可,0,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 43,宮ヶ瀬線,66,1,-,-,-,7,0,-,-,有り,-,送144，送92,◇　上位系（送92）による制約
神奈川県 66kV 44,川尻線,66,2,208,118,熱容量,104,0,可,90,有り,-,送144，送92,上位系（送92）による制約
神奈川県 66kV 45,久里浜線,66,2,132,74,熱容量,66,0,可,58,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 46,岩戸線,66,2,132,74,熱容量,66,0,可,58,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 47,大矢部線,66,2,184,104,熱容量,92,0,可,80,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 48,若松町線,66,2,184,104,熱容量,92,0,可,80,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 49,横須賀線,66,2,158,89,熱容量,67,0,可,69,有り,-,送117,上位系（送103）による制約
